Ano,Código da Área,Área de Avaliação,Código da IES,Nome da IES,Sigla da IES,Organização Acadêmica,Categoria Administrativa,Código do Curso,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Nota Bruta - FG,Nota Padronizada - FG,Nota Bruta - CE,Nota Padronizada - CE,Conceito Enade (Contínuo),Conceito Enade (Faixa),Observação
2019,5,MEDICINA VETERINÁRIA,150,UNIVERSIDADE DE SOROCABA,UNISO,Universidade,Privada sem fins lucrativos,1169423,Educação Presencial,3552205,Sorocaba,SP,117,112,41.617,2.5555,50.2045,1.7758,1.9707,3,
2019,5,MEDICINA VETERINÁRIA,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,4959,Educação Presencial,3304557,Rio de Janeiro,RJ,146,141,36.4447,1.6842,50.9298,1.9057,1.8503,2,
2019,5,MEDICINA VETERINÁRIA,167,UNIVERSIDADE METODISTA DE SÃO PAULO,UMESP,Universidade,Privada sem fins lucrativos,5133,Educação Presencial,3548708,São Bernardo do Campo,SP,141,136,37.8654,1.9235,48.5699,1.483,1.5932,2,
2019,5,MEDICINA VETERINÁRIA,176,UNIVERSIDADE CASTELO BRANCO,UCB,Universidade,Privada sem fins lucrativos,18598,Educação Presencial,3304557,Rio de Janeiro,RJ,74,71,38.7493,2.0724,53.6901,2.4001,2.3182,3,
2019,5,MEDICINA VETERINÁRIA,203,UNIVERSIDADE SÃO JUDAS TADEU,USJT,Universidade,Privada com fins lucrativos,1314224,Educação Presencial,3550308,São Paulo,SP,71,71,47.162,3.4896,53.7239,2.4062,2.6771,3,
2019,5,MEDICINA VETERINÁRIA,207,CENTRO UNIVERSITÁRIO MOURA LACERDA,CUML,Centro Universitário,Privada sem fins lucrativos,18995,Educação Presencial,3543402,Ribeirão Preto,SP,65,63,38.0143,1.9486,50.8063,1.8836,1.8999,2,
2019,5,MEDICINA VETERINÁRIA,221,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,Universidade,Privada com fins lucrativos,70467,Educação Presencial,3550308,São Paulo,SP,103,102,41.952,2.6119,52.3373,2.1578,2.2714,3,
2019,5,MEDICINA VETERINÁRIA,265,CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS,Unifio,Centro Universitário,Privada sem fins lucrativos,82635,Educação Presencial,3534708,Ourinhos,SP,48,43,32.2163,0.9718,55.3,2.6885,2.2593,3,
2019,5,MEDICINA VETERINÁRIA,271,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,Universidade,Privada sem fins lucrativos,6497,Educação Presencial,3541406,Presidente Prudente,SP,120,111,38.173,1.9753,51.4477,1.9985,1.9927,3,
2019,5,MEDICINA VETERINÁRIA,296,Centro Universitário da Região da Campanha,,Centro Universitário,Privada sem fins lucrativos,6807,Educação Presencial,4301602,Bagé,RS,47,47,32.8128,1.0723,47.566,1.3032,1.2455,2,
2019,5,MEDICINA VETERINÁRIA,296,Centro Universitário da Região da Campanha,,Centro Universitário,Privada sem fins lucrativos,18514,Educação Presencial,4300406,Alegrete,RS,39,39,28.9744,0.4257,46.1128,1.043,0.8886,1,
2019,5,MEDICINA VETERINÁRIA,298,UNIVERSIDADE PITÁGORAS UNOPAR,,Universidade,Privada com fins lucrativos,18127,Educação Presencial,4101507,Arapongas,PR,21,19,34.6789,1.3867,51.0211,1.9221,1.7882,2,
2019,5,MEDICINA VETERINÁRIA,298,UNIVERSIDADE PITÁGORAS UNOPAR,,Universidade,Privada com fins lucrativos,1150518,Educação Presencial,4113700,Londrina,PR,9,7,40.3,2.3337,53.7,2.4019,2.3848,3,
2019,5,MEDICINA VETERINÁRIA,308,UNIVERSIDADE PRESIDENTE ANTÔNIO CARLOS,UNIPAC,Centro Universitário,Privada sem fins lucrativos,51339,Educação Presencial,3136702,Juiz de Fora,MG,49,48,34.3396,1.3295,51.0812,1.9329,1.782,2,
2019,5,MEDICINA VETERINÁRIA,319,UNIVERSIDADE BRASIL,,Universidade,Privada sem fins lucrativos,7210,Educação Presencial,3515509,Fernandópolis,SP,50,50,30.482,0.6797,43.72,0.6144,0.6307,1,
2019,5,MEDICINA VETERINÁRIA,319,UNIVERSIDADE BRASIL,,Universidade,Privada sem fins lucrativos,19884,Educação Presencial,3513702,Descalvado,SP,20,19,36.9158,1.7635,50.4895,1.8269,1.811,2,
2019,5,MEDICINA VETERINÁRIA,322,UNIVERSIDADE PAULISTA,UNIP,Universidade,Privada com fins lucrativos,7278,Educação Presencial,3550308,São Paulo,SP,83,76,42.2961,2.6699,51.1921,1.9527,2.132,3,
2019,5,MEDICINA VETERINÁRIA,322,UNIVERSIDADE PAULISTA,UNIP,Universidade,Privada com fins lucrativos,73400,Educação Presencial,3549904,São José dos Campos,SP,94,80,47.6325,3.5689,55.8312,2.7836,2.98,4,
2019,5,MEDICINA VETERINÁRIA,322,UNIVERSIDADE PAULISTA,UNIP,Universidade,Privada com fins lucrativos,73402,Educação Presencial,3506003,Bauru,SP,62,60,41.6133,2.5549,55.95,2.8049,2.7424,3,
2019,5,MEDICINA VETERINÁRIA,322,UNIVERSIDADE PAULISTA,UNIP,Universidade,Privada com fins lucrativos,100380,Educação Presencial,3509502,Campinas,SP,61,60,45.7283,3.2481,56.995,2.9921,3.0561,4,
2019,5,MEDICINA VETERINÁRIA,330,UNIVERSIDADE IGUAÇU,UNIG,Universidade,Privada sem fins lucrativos,97517,Educação Presencial,3302205,Itaperuna,RJ,48,43,29.4465,0.5052,49.3488,1.6226,1.3432,2,
2019,5,MEDICINA VETERINÁRIA,338,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,Universidade,Privada sem fins lucrativos,20827,Educação Presencial,3106705,Betim,MG,125,118,44.8932,3.1074,57.0068,2.9942,3.0225,4,
2019,5,MEDICINA VETERINÁRIA,338,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,Universidade,Privada sem fins lucrativos,20828,Educação Presencial,3151800,Poços de Caldas,MG,82,77,43.1468,2.8132,56.9766,2.9888,2.9449,3,
2019,5,MEDICINA VETERINÁRIA,343,CENTRO UNIVERSITÁRIO NEWTON PAIVA,NEWTON PAIVA,Centro Universitário,Privada com fins lucrativos,1321262,Educação Presencial,3106200,Belo Horizonte,MG,71,71,46.7155,3.4144,55.6761,2.7558,2.9205,3,
2019,5,MEDICINA VETERINÁRIA,349,CENTRO UNIVERSITÁRIO DE BELO HORIZONTE,UNI-BH,Centro Universitário,Privada com fins lucrativos,1279014,Educação Presencial,3106200,Belo Horizonte,MG,229,225,42.6551,2.7304,57.3262,3.0514,2.9712,4,
2019,5,MEDICINA VETERINÁRIA,355,UNIVERSIDADE TUIUTI DO PARANÁ,UTP,Universidade,Privada com fins lucrativos,18939,Educação Presencial,4106902,Curitiba,PR,166,158,40.5177,2.3703,53.8544,2.4296,2.4148,3,
2019,5,MEDICINA VETERINÁRIA,374,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,FMU,Centro Universitário,Privada sem fins lucrativos,18822,Educação Presencial,3550308,São Paulo,SP,414,374,46.0118,3.2959,49.7441,1.6934,2.094,3,
2019,5,MEDICINA VETERINÁRIA,375,UNIVERSIDADE SANTO AMARO,UNISA,Universidade,Privada sem fins lucrativos,74644,Educação Presencial,3550308,São Paulo,SP,57,57,45.7439,3.2507,57.0211,2.9967,3.0602,4,
2019,5,MEDICINA VETERINÁRIA,383,UNIVERSIDADE DA AMAZÔNIA,UNAMA,Universidade,Privada com fins lucrativos,1313832,Educação Presencial,1501402,Belém,PA,128,125,37.1504,1.8031,45.7856,0.9843,1.189,2,
2019,5,MEDICINA VETERINÁRIA,385,UNIVERSIDADE SALVADOR,UNIFACS,Universidade,Privada com fins lucrativos,1265455,Educação Presencial,2927408,Salvador,BA,114,110,39.4145,2.1845,55.6727,2.7552,2.6126,3,
2019,5,MEDICINA VETERINÁRIA,387,UNIVERSIDADE CATÓLICA DOM BOSCO,UCDB,Universidade,Privada sem fins lucrativos,62233,Educação Presencial,5002704,Campo Grande,MS,96,91,36.9396,1.7675,46.7736,1.1613,1.3129,2,
2019,5,MEDICINA VETERINÁRIA,404,FACULDADES INTEGRADAS DA UPIS,UPIS,Faculdade,Privada sem fins lucrativos,18319,Educação Presencial,5300108,Brasília,DF,61,57,45.2211,3.1627,59.8614,3.5055,3.4198,4,
2019,5,MEDICINA VETERINÁRIA,420,UNIVERSIDADE DE MARÍLIA,UNIMAR,Universidade,Privada com fins lucrativos,8669,Educação Presencial,3529005,Marília,SP,61,60,43.3717,2.8511,57.8383,3.1431,3.0701,4,
2019,5,MEDICINA VETERINÁRIA,430,CENTRO UNIVERSITÁRIO FILADÉLFIA,UNIFIL,Centro Universitário,Privada sem fins lucrativos,119112,Educação Presencial,4113700,Londrina,PR,104,100,40.567,2.3786,52.395,2.1682,2.2208,3,
2019,5,MEDICINA VETERINÁRIA,437,UNIVERSIDADE PARANAENSE,UNIPAR,Universidade,Privada sem fins lucrativos,9044,Educação Presencial,4128104,Umuarama,PR,40,37,32.9757,1.0998,45.3297,0.9027,0.952,2,
2019,5,MEDICINA VETERINÁRIA,439,FACULDADE DOUTOR FRANCISCO MAEDA,FAFRAM,Faculdade,Privada sem fins lucrativos,71252,Educação Presencial,3524105,Ituverava,SP,41,39,31.2538,0.8097,43.4,0.5571,0.6202,1,
2019,5,MEDICINA VETERINÁRIA,441,UNIVERSIDADE DO CONTESTADO,UNC,Universidade,Privada sem fins lucrativos,21029,Educação Presencial,4203808,Canoinhas,SC,18,18,33.1111,1.1226,49.5056,1.6506,1.5186,2,
2019,5,MEDICINA VETERINÁRIA,446,UNIVERSIDADE DE CRUZ ALTA,UNICRUZ,Universidade,Privada sem fins lucrativos,19005,Educação Presencial,4306106,Cruz Alta,RS,79,76,35.025,1.445,45.4592,0.9259,1.0557,2,
2019,5,MEDICINA VETERINÁRIA,448,CENTRO UNIVERSITÁRIO RITTER DOS REIS,UNIRITTER,Centro Universitário,Privada com fins lucrativos,1214342,Educação Presencial,4314902,Porto Alegre,RS,226,221,40.6959,2.4004,55.5466,2.7327,2.6496,3,
2019,5,MEDICINA VETERINÁRIA,449,UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,Universidade,Privada sem fins lucrativos,9317,Educação Presencial,4304606,Canoas,RS,77,76,40.2342,2.3226,54.9,2.6168,2.5433,3,
2019,5,MEDICINA VETERINÁRIA,450,Centro Universitário São Lucas Ji-Paraná,UniSL - Ji-Paraná,Centro Universitário,Privada com fins lucrativos,75368,Educação Presencial,1100122,Ji-Paraná,RO,42,36,37.7389,1.9022,51.525,2.0123,1.9848,3,
2019,5,MEDICINA VETERINÁRIA,453,CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS,CEULP,Centro Universitário,Privada sem fins lucrativos,1286065,Educação Presencial,1721000,Palmas,TO,57,56,40.4071,2.3517,49.4929,1.6484,1.8242,2,
2019,5,MEDICINA VETERINÁRIA,457,UNIVERSIDADE ANHANGUERA DE SÃO PAULO,UNIAN - SP,Universidade,Privada com fins lucrativos,18451,Educação Presencial,3547809,Santo André,SP,24,21,36.2762,1.6558,48.8286,1.5294,1.561,2,
2019,5,MEDICINA VETERINÁRIA,457,UNIVERSIDADE ANHANGUERA DE SÃO PAULO,UNIAN - SP,Universidade,Privada com fins lucrativos,44929,Educação Presencial,3548708,São Bernardo do Campo,SP,40,33,39.0333,2.1203,48.2182,1.42,1.5951,2,
2019,5,MEDICINA VETERINÁRIA,466,UNIVERSIDADE ANHEMBI MORUMBI,UAM,Universidade,Privada com fins lucrativos,21351,Educação Presencial,3550308,São Paulo,SP,581,523,45.7662,3.2545,53.1577,2.3048,2.5422,3,
2019,5,MEDICINA VETERINÁRIA,472,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,UNIGRANRIO,Universidade,Privada com fins lucrativos,9733,Educação Presencial,3301702,Duque de Caxias,RJ,107,99,41.6465,2.5605,49.2495,1.6048,1.8437,2,
2019,5,MEDICINA VETERINÁRIA,480,CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS,UNIFESO,Centro Universitário,Privada sem fins lucrativos,21548,Educação Presencial,3305802,Teresópolis,RJ,47,47,43.3298,2.8441,50.5638,1.8402,2.0912,3,
2019,5,MEDICINA VETERINÁRIA,481,Universidade Universus Veritas Guarulhos,Univeritas UNG,Universidade,Privada sem fins lucrativos,18571,Educação Presencial,3518800,Guarulhos,SP,182,164,37.4354,1.8511,51.8732,2.0747,2.0188,3,
2019,5,MEDICINA VETERINÁRIA,490,CENTRO DE ENSINO SUPERIOR DE VALENÇA,CESVA,Centro Universitário,Privada sem fins lucrativos,10006,Educação Presencial,3306107,Valença,RJ,58,57,34.3228,1.3267,56.1263,2.8365,2.459,3,
2019,5,MEDICINA VETERINÁRIA,494,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,Universidade,Privada sem fins lucrativos,1216475,Educação Presencial,4218707,Tubarão,SC,35,33,36.4727,1.6889,53.6121,2.3862,2.2118,3,
2019,5,MEDICINA VETERINÁRIA,495,FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA,FESB,Faculdade,Pública Municipal,20682,Educação Presencial,3507605,Bragança Paulista,SP,57,44,34.5636,1.3673,46.0205,1.0264,1.1116,2,
2019,5,MEDICINA VETERINÁRIA,496,UNIVERSIDADE DE FRANCA,UNIFRAN,Universidade,Privada com fins lucrativos,19119,Educação Presencial,3516200,Franca,SP,56,53,36.6151,1.7129,51.6132,2.0281,1.9493,3,
2019,5,MEDICINA VETERINÁRIA,502,CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU,CSJT,Centro Universitário,Privada com fins lucrativos,19481,Educação Presencial,3548500,Santos,SP,91,84,43.0524,2.7973,52.325,2.1556,2.3161,3,
2019,5,MEDICINA VETERINÁRIA,514,CENTRO UNIVERSITÁRIO DE BARRA MANSA,UBM,Centro Universitário,Privada sem fins lucrativos,19050,Educação Presencial,3300407,Barra Mansa,RJ,20,20,35.415,1.5107,49.91,1.7231,1.67,2,
2019,5,MEDICINA VETERINÁRIA,515,CENTRO UNIVERSITÁRIO ANHANGUERA DE NITERÓI,UNIAN-RJ,Centro Universitário,Privada com fins lucrativos,10423,Educação Presencial,3301900,Itaboraí,RJ,50,44,35.2909,1.4898,45.65,0.9601,1.0925,2,
2019,5,MEDICINA VETERINÁRIA,532,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,UNIJUI,Universidade,Privada sem fins lucrativos,111008,Educação Presencial,4310207,Ijuí,RS,87,87,31.9391,0.9251,50.8678,1.8946,1.6523,2,
2019,5,MEDICINA VETERINÁRIA,549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Universidade,Pública Federal,118697,Educação Presencial,1200401,Rio Branco,AC,31,30,42.6833,2.7352,54.41,2.5291,2.5806,3,
2019,5,MEDICINA VETERINÁRIA,568,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Universidade,Pública Estadual,11874,Educação Presencial,2111300,São Luís,MA,77,74,49.373,3.8621,52.6838,2.2199,2.6304,3,
2019,5,MEDICINA VETERINÁRIA,569,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,53202,Educação Presencial,1502400,Castanhal,PA,27,25,49.888,3.9489,59.004,3.3519,3.5012,4,
2019,5,MEDICINA VETERINÁRIA,571,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Universidade,Pública Federal,12583,Educação Presencial,4106902,Curitiba,PR,75,73,56.1274,5,67.6493,4.9004,4.9253,5,
2019,5,MEDICINA VETERINÁRIA,571,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Universidade,Pública Federal,12590,Educação Presencial,4117909,Palotina,PR,62,58,47.4862,3.5443,54.8845,2.6141,2.8466,3,
2019,5,MEDICINA VETERINÁRIA,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Universidade,Pública Federal,12704,Educação Presencial,3303302,Niterói,RJ,109,107,50.3121,4.0203,62.357,3.9525,3.9694,5,
2019,5,MEDICINA VETERINÁRIA,573,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Universidade,Pública Federal,20039,Educação Presencial,3200201,Alegre,ES,55,49,47.7143,3.5827,59.0102,3.353,3.4104,4,
2019,5,MEDICINA VETERINÁRIA,574,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,Universidade,Pública Federal,12909,Educação Presencial,3305554,Seropédica,RJ,145,144,47.8236,3.6011,58.5778,3.2756,3.357,4,
2019,5,MEDICINA VETERINÁRIA,575,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Universidade,Pública Federal,12971,Educação Presencial,3106200,Belo Horizonte,MG,117,114,53.9974,4.6412,67.0175,4.7872,4.7507,5,
2019,5,MEDICINA VETERINÁRIA,576,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Universidade,Pública Federal,1268972,Educação Presencial,3136702,Juiz de Fora,MG,44,42,52.431,4.3773,67.3357,4.8442,4.7275,5,
2019,5,MEDICINA VETERINÁRIA,577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Universidade,Pública Federal,102146,Educação Presencial,2709400,Viçosa,AL,26,26,44.0115,2.9589,50.2769,1.7888,2.0813,3,
2019,5,MEDICINA VETERINÁRIA,578,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Universidade,Pública Federal,13287,Educação Presencial,2927408,Salvador,BA,98,89,49.3551,3.8591,61.4326,3.7869,3.805,4,
2019,5,MEDICINA VETERINÁRIA,579,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,Universidade,Pública Federal,113709,Educação Presencial,2501104,Areia,PB,64,60,44.39,3.0227,53.82,2.4234,2.5732,3,
2019,5,MEDICINA VETERINÁRIA,581,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Universidade,Pública Federal,13719,Educação Presencial,4314902,Porto Alegre,RS,92,90,51.7933,4.2699,61.2056,3.7462,3.8771,4,
2019,5,MEDICINA VETERINÁRIA,582,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,Universidade,Pública Federal,13857,Educação Presencial,4316907,Santa Maria,RS,91,87,47.6839,3.5776,63.7828,4.2078,4.0503,5,
2019,5,MEDICINA VETERINÁRIA,584,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Universidade,Pública Federal,14094,Educação Presencial,5208707,Goiânia,GO,114,105,50.6095,4.0704,57.2314,3.0344,3.2934,4,
2019,5,MEDICINA VETERINÁRIA,584,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Universidade,Pública Federal,18364,Educação Presencial,5211909,Jataí,GO,66,64,47.0812,3.476,58.6094,3.2812,3.3299,4,
2019,5,MEDICINA VETERINÁRIA,585,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Universidade,Pública Federal,1175716,Educação Presencial,4204806,Curitibanos,SC,49,48,43.1271,2.8099,58.3813,3.2404,3.1328,4,
